Year,site,r95ptot,rx1day
1981,Milford.Sound,16.6797676,216
1982,Milford.Sound,41.61288797,326
1983,Milford.Sound,27.82537581,360
1984,Milford.Sound,23.45193123,345
1985,Milford.Sound,15.74853619,195
1986,Milford.Sound,19.04055391,349.6
1987,Milford.Sound,32.95686469,341.8
1988,Milford.Sound,33.699987,521.1
1989,Milford.Sound,25.2774599,348.2
1990,Milford.Sound,18.91657763,199.5
1991,Milford.Sound,23.79170328,327.1
1992,Milford.Sound,16.17198117,235
1993,Milford.Sound,31.85476045,272.5
1994,Milford.Sound,28.40326386,537.5
1995,Milford.Sound,34.17160143,300
1996,Milford.Sound,22.78752964,240
1997,Milford.Sound,24.47330144,227.3
1998,Milford.Sound,27.74299077,231
1999,Milford.Sound,32.85312984,326
2000,Milford.Sound,23.09635253,192.5
2001,Milford.Sound,13.18906473,198.5
2002,Milford.Sound,15.01142891,315
2003,Milford.Sound,21.07205314,260
2004,Milford.Sound,12.82992747,252
2005,Milford.Sound,12.92476886,306
2006,Milford.Sound,20.36149508,220
2007,Milford.Sound,19.89233269,225
2008,Milford.Sound,18.25461105,156
2009,Milford.Sound,27.09503109,203.5
2010,Milford.Sound,25.54336816,313.5
2011,Milford.Sound,20.45167575,218.6
2012,Milford.Sound,26.27588486,208.5
2013,Milford.Sound,26.86567164,247.4
2014,Milford.Sound,30.8966313,227.5
2015,Milford.Sound,23.14576194,420
2016,Milford.Sound,33.92963303,235.6
1960,0pier,23.24491055,47.3
1961,0pier,24.51418226,55.4
1962,0pier,19.1720308,52.7
1963,0pier,40.6921725,205.6
1964,0pier,6.108374384,31
1965,0pier,24.75388601,45.8
1966,0pier,22.50155569,38
1967,0pier,23.96883593,94.4
1968,0pier,15.63017618,71.9
1969,0pier,5.715353007,30.6
1970,0pier,30.7079646,111.8
1971,0pier,23.01172845,98.7
1972,0pier,20.92683817,45.9
1973,0pier,30.18867925,44.7
1974,0pier,27.74905548,136.7
1975,0pier,18.70770017,74.6
1976,0pier,27.84982935,69.4
1977,0pier,25.89450788,92
1978,0pier,26.64769323,71.5
1979,0pier,24.22028986,51.5
1980,0pier,30.99375355,85.6
1981,0pier,13.96190987,38.5
1982,0pier,14.5280236,47.7
1983,0pier,8.646464646,42.8
1984,0pier,16.30416456,32.9
1985,0pier,25.61797753,68.6
1986,0pier,6.874884495,37.2
1987,0pier,34.50130852,90.8
1988,0pier,37.23668716,84.4
1989,0pier,44.30950294,67.9
1990,0pier,28.120145,73.3
1991,0pier,28.49657983,51.9
1992,0pier,32.18416125,64.5
1993,0pier,16.13508443,64.8
1994,0pier,7.449714428,30
1995,0pier,10.81343698,39
1996,0pier,32.95774648,60.8
1997,0pier,41.25656696,69.3
1998,0pier,25.95781317,87.8
1999,0pier,34.11485774,66.2
2000,0pier,21.86397177,50.4
2001,0pier,18.66597725,72.6
2002,0pier,41.29050926,64.2
2003,0pier,29.59336325,51.8
2004,0pier,15.92736346,47
2005,0pier,36.74692111,78.2
2006,0pier,18.83182276,38.4
2007,0pier,14.69228547,35.4
2008,0pier,26.14424411,44.4
2009,0pier,35.68355641,62
2010,0pier,40.83620865,72.6
2011,0pier,49.92440278,142.4
2012,0pier,32.04751565,66.6
2013,0pier,34.4548034,116.5
2014,0pier,5.13029316,31.5
2015,0pier,26.22982424,62.63915
2016,0pier,29.66614864,69.8
1960,Nelson,21.60094807,71.9
1961,Nelson,33.06315025,77
1962,Nelson,42.44834105,91.4
1963,Nelson,34.71841384,77.2
1964,Nelson,28.61100497,86.4
1965,Nelson,21.0186679,99.8
1966,Nelson,24.59323538,64.5
1967,Nelson,24.70497408,59.7
1968,Nelson,30.89203752,69.1
1969,Nelson,31.47113594,72.6
1970,Nelson,44.21245142,137.4
1971,Nelson,8.065934066,37.6
1972,Nelson,36.72392638,71.5
1973,Nelson,19.73989782,51.4
1974,Nelson,33.92094502,87.5
1975,Nelson,24.85608171,50.6
1976,Nelson,24.53677709,81
1977,Nelson,11.26643763,47.6
1978,Nelson,24.35976741,69.1
1979,Nelson,9.945750452,55
1980,Nelson,18.87686062,50.8
1981,Nelson,22.85244103,56.9
1982,Nelson,25.6344086,61.2
1983,Nelson,31.44826188,83.2
1984,Nelson,13.36982017,44.5
1985,Nelson,30.65863108,138.4
1986,Nelson,29.84529644,98.7
1987,Nelson,36.809367,84
1988,Nelson,23.33613269,59.9
1989,Nelson,9.872480461,61.3
1990,Nelson,41.1833785,95.4
1991,Nelson,9.048694779,36.7
1992,Nelson,16.71813588,43.1
1993,Nelson,27.70538244,51.6
1994,Nelson,26.61522515,52.5
1995,Nelson,41.50273418,110.2
1996,Nelson,17.94747082,57.3
1997,Nelson,16.27162076,67.8
1998,Nelson,41.30666261,121.3
1999,Nelson,10.2581294,46.9
2000,Nelson,12.40626378,39.8
2001,Nelson,32.6420287,67.3
2002,Nelson,18.96283905,53
2003,Nelson,19.58592658,77.1
2004,Nelson,25.54901337,68.6
2005,Nelson,14.59485073,53.2
2006,Nelson,19.5113438,54
2007,Nelson,21.39917695,97.1
2008,Nelson,34.67363387,104.6
2009,Nelson,9.397590361,37.6
2010,Nelson,27.53259779,58.1
2011,Nelson,51.02363287,167.9
2012,Nelson,37.06839675,65.6
2013,Nelson,25.52962999,90.4
2014,Nelson,27.52217623,87.1
2015,Nelson,12.31155779,42.2
2016,Nelson,29.65773329,137.8
1960,New.Plymouth,27.7537797,74.3
1961,New.Plymouth,27.50682506,70.5
1962,New.Plymouth,35.95949617,94
1963,New.Plymouth,21.50307569,76.9
1964,New.Plymouth,29.20947661,66.9
1965,New.Plymouth,19.72989236,60.6
1966,New.Plymouth,34.72858452,69.2
1967,New.Plymouth,27.10591655,104
1968,New.Plymouth,23.97418478,75.1
1969,New.Plymouth,32.6770218,97.3
1970,New.Plymouth,31.71965769,58.1
1971,New.Plymouth,25.26847079,330.3
1972,New.Plymouth,8.453165965,64.5
1973,New.Plymouth,7.194609477,61.2
1974,New.Plymouth,26.14910314,95.6
1975,New.Plymouth,27.30675014,46.2
1976,New.Plymouth,17.36282267,76.9
1977,New.Plymouth,23.19271009,80.7
1978,New.Plymouth,35.63134448,65.1
1979,New.Plymouth,19.29861111,58.4
1980,New.Plymouth,21.22570016,81.9
1981,New.Plymouth,15.0175644,67.3
1982,New.Plymouth,33.47970927,75
1983,New.Plymouth,22.2780149,57
1984,New.Plymouth,34.64999657,57.6
1985,New.Plymouth,34.79018542,59.3
1986,New.Plymouth,30.85154387,85.6
1987,New.Plymouth,18.61750454,71.1
1988,New.Plymouth,18.61302682,48.5
1989,New.Plymouth,20.15789474,72.4
1990,New.Plymouth,33.74752895,159.3
1991,New.Plymouth,22.52240551,64.7
1992,New.Plymouth,27.75873016,50.8
1993,New.Plymouth,30.36386449,118.2
1994,New.Plymouth,20.57563588,54.8
1995,New.Plymouth,26.70750029,99
1996,New.Plymouth,9.490986214,58.2
1997,New.Plymouth,18.99115044,50
1998,New.Plymouth,28.28699769,74.4
1999,New.Plymouth,23.09334092,101
2000,New.Plymouth,17.27189503,63.6
2001,New.Plymouth,34.14874001,66.6
2002,New.Plymouth,22.12183436,89.2
2003,New.Plymouth,34.83015017,74.4
2004,New.Plymouth,24.88453066,83.6
2005,New.Plymouth,12.77975997,68.4
2006,New.Plymouth,9.356828194,35.8
2007,New.Plymouth,6.535440706,34.4
2008,New.Plymouth,20.95784418,63.8
2009,New.Plymouth,9.822184589,52.8
2010,New.Plymouth,25.4015544,83
2011,New.Plymouth,37.95199341,102.4
2012,New.Plymouth,23.59050445,67
2013,New.Plymouth,10.64575084,55.8
2014,New.Plymouth,7.064595258,45
2015,New.Plymouth,24.53430259,64.2
2016,New.Plymouth,0,28.2
1960,Queenstown,0,0
1961,Queenstown,0,0
1962,Queenstown,0,0
1963,Queenstown,0,0
1964,Queenstown,0,0
1965,Queenstown,0,0
1966,Queenstown,0,0
1967,Queenstown,0,0
1968,Queenstown,0,0
1969,Queenstown,22.94496069,51.2
1970,Queenstown,27.63536866,43.7
1971,Queenstown,18.84910904,32.5
1972,Queenstown,24.83403,49.2
1973,Queenstown,0,15.3
1974,Queenstown,0,22.2
1975,Queenstown,18.96296296,40.8
1976,Queenstown,13.43873518,33.7
1977,Queenstown,20.35465007,42.8
1978,Queenstown,28.49765258,72
1979,Queenstown,19.51670408,47.2
1980,Queenstown,35.67047377,40.8
1981,Queenstown,16.96875539,49.7
1982,Queenstown,26.92641767,45.2
1983,Queenstown,26.91312384,56.7
1984,Queenstown,21.09086107,42.8
1985,Queenstown,29.56010618,41.6
1986,Queenstown,16.70447181,45.1
1987,Queenstown,27.84667418,79.1
1988,Queenstown,26.97803652,41.6
1989,Queenstown,17.8807947,38.2
1990,Queenstown,3.60619116,22.6
1991,Queenstown,28.04981602,51.9
1992,Queenstown,13.70759166,37.6
1993,Queenstown,22.91037261,44.4
1994,Queenstown,36.83123709,63
1995,Queenstown,32.44929797,58.8
1996,Queenstown,14.57514363,41.8
1997,Queenstown,29.52272078,48.4
1998,Queenstown,15.09593679,29.6
1999,Queenstown,47.5019216,86
2000,Queenstown,17.11606096,37.6
2001,Queenstown,8.986013986,28.2
2002,Queenstown,27.49675746,38.8
2003,Queenstown,14.39859526,31.2
2004,Queenstown,9.498111171,23.8
2005,Queenstown,16.13488035,31.2
2006,Queenstown,33.87840048,64.8
2007,Queenstown,14.23916585,37.8
2008,Queenstown,18.08985421,26.6
2009,Queenstown,15.42247744,42
2010,Queenstown,21.48058252,63
2011,Queenstown,15.37446387,35.4
2012,Queenstown,20.35911602,31.2
2013,Queenstown,28.52996662,64.6
2014,Queenstown,3.268164575,22.4
2015,Queenstown,20.35825988,55.4
2016,Queenstown,22.75042445,49
1960,Reefton,0,0
1961,Reefton,22.78195489,52.1
1962,Reefton,17.55401427,67.1
1963,Reefton,24.21265368,72.4
1964,Reefton,16.16452712,62.5
1965,Reefton,18.3546899,51.1
1966,Reefton,24.67095892,80.3
1967,Reefton,20.75314218,76.2
1968,Reefton,29.52333127,94.7
1969,Reefton,28.49924204,74.2
1970,Reefton,31.93923309,166.4
1971,Reefton,25.03280278,79.1
1972,Reefton,22.51027653,72.1
1973,Reefton,10.95012872,56.9
1974,Reefton,28.71271503,100
1975,Reefton,25.87021721,124.9
1976,Reefton,20.36825081,55.5
1977,Reefton,3.011572856,45.8
1978,Reefton,28.43241331,78.2
1979,Reefton,21.10799439,101.2
1980,Reefton,19.6203061,75
1981,Reefton,16.57939809,85
1982,Reefton,10.55351784,57
1983,Reefton,32.87766652,145.3
1984,Reefton,15.42516161,77
1985,Reefton,23.36566387,56
1986,Reefton,19.95144322,104
1987,Reefton,28.51031467,64
1988,Reefton,23.06300095,93.5
1989,Reefton,34.56915524,85.3
1990,Reefton,13.06906969,77.3
1991,Reefton,10.62079282,83
1992,Reefton,19.5856772,62.5
1993,Reefton,12.26990464,95.3
1994,Reefton,29.7087844,98.2
1995,Reefton,36.60582141,96.5
1996,Reefton,22.79884319,75.3
1997,Reefton,35.95446501,120
1998,Reefton,31.07991979,94.4
1999,Reefton,31.49727044,72.4
2000,Reefton,24.08888412,85.2
2001,Reefton,15.32717378,66.8
2002,Reefton,9.53001194,70.4
2003,Reefton,14.32407191,63.4
2004,Reefton,16.53255988,87
2005,Reefton,0,35.8
2006,Reefton,30.48023184,116.8
2007,Reefton,14.09934171,69
2008,Reefton,19.7242842,91.8
2009,Reefton,15.78275925,86.8
2010,Reefton,18.78483835,71.2
2011,Reefton,29.82597324,83.6
2012,Reefton,20.36801296,94.6
2013,Reefton,14.0625,80.8
2014,Reefton,6.468305304,58.2
2015,Reefton,16.30216189,82.8
2016,Reefton,17.88321168,82.2
1960,Rotorua,0,0
1961,Rotorua,0,0
1962,Rotorua,0,0
1963,Rotorua,0,0
1964,Rotorua,27.74055805,70.3
1965,Rotorua,32.9676512,108.5
1966,Rotorua,35.18034216,159
1967,Rotorua,29.30970149,192.2
1968,Rotorua,28.53996007,100.6
1969,Rotorua,30.98644017,96.9
1970,Rotorua,30.25916561,139.6
1971,Rotorua,35.28578655,84.9
1972,Rotorua,19.87459781,85.2
1973,Rotorua,27.52803782,58.3
1974,Rotorua,34.58992624,116.5
1975,Rotorua,29.06331484,107.1
1976,Rotorua,19.72596935,65.6
1977,Rotorua,29.20050964,79.7
1978,Rotorua,19.63510848,67.2
1979,Rotorua,24.45536349,77.6
1980,Rotorua,5.997838617,66.6
1981,Rotorua,10.18616833,79.4
1982,Rotorua,39.51705297,76.4
1983,Rotorua,35.52996374,102.8
1984,Rotorua,18.51591596,76
1985,Rotorua,30.09232955,78.4
1986,Rotorua,50.91935717,136.2
1987,Rotorua,8.679695385,50
1988,Rotorua,37.98014379,111
1989,Rotorua,13.64079699,63.2
1990,Rotorua,37.95126039,104.6
1991,Rotorua,17.0393756,63.1
1992,Rotorua,20.80547596,64.6
1993,Rotorua,19.42628138,74.8
1994,Rotorua,16.50470695,117.6
1995,Rotorua,35.49850614,114.8
1996,Rotorua,31.35350517,85.4
1997,Rotorua,21.64012739,76.6
1998,Rotorua,31.7632171,78.6
1999,Rotorua,33.74206578,122.8
2000,Rotorua,30.6345733,70.8
2001,Rotorua,27.55670771,95.2
2002,Rotorua,13.48481631,81
2003,Rotorua,18.81188119,67.8
2004,Rotorua,35.13867248,120
2005,Rotorua,23.08679609,98.8
2006,Rotorua,22.75852585,139.6
2007,Rotorua,12.97427355,86.6
2008,Rotorua,32.62885192,108.4
2009,Rotorua,19.00121803,62.4
2010,Rotorua,22.72534913,112.8
2011,Rotorua,50.37449393,157.6
2012,Rotorua,17.266308,63.2
2013,Rotorua,17.44273219,73
2014,Rotorua,15.53269793,65.4
2015,Rotorua,11.03435041,60
2016,Rotorua,24.23303378,82.8
1960,Tara.Hills,9.660639088,39
1961,Tara.Hills,32.69521411,88.1
1962,Tara.Hills,29.89949749,45.2
1963,Tara.Hills,24.25292334,36.4
1964,Tara.Hills,18.67276888,30
1965,Tara.Hills,27.15763195,38.4
1966,Tara.Hills,31.38447147,52.7
1967,Tara.Hills,34.70822281,66.6
1968,Tara.Hills,28.39410396,32.3
1969,Tara.Hills,20.95926413,39.7
1970,Tara.Hills,33.01958403,54
1971,Tara.Hills,10.74486301,26.3
1972,Tara.Hills,19.22868985,39.1
1973,Tara.Hills,28.37175086,43.8
1974,Tara.Hills,17.15871254,30.5
1975,Tara.Hills,17.12753477,39.1
1976,Tara.Hills,6.635921086,25.9
1977,Tara.Hills,6.306306306,23.1
1978,Tara.Hills,21.45322086,58.4
1979,Tara.Hills,37.21780604,71.1
1980,Tara.Hills,33.62613654,49
1981,Tara.Hills,19.17690153,35.2
1982,Tara.Hills,23.17797373,42.4
1983,Tara.Hills,36.22303622,68.2
1984,Tara.Hills,38.05831266,41.7
1985,Tara.Hills,22.75641026,50.6
1986,Tara.Hills,21.2145749,31
1987,Tara.Hills,22.74486454,46.2
1988,Tara.Hills,30.42230422,31
1989,Tara.Hills,37.85760379,49.6
1990,Tara.Hills,10.86649162,30.7
1991,Tara.Hills,28.96259159,44.6
1992,Tara.Hills,23.86447336,50
1993,Tara.Hills,16.69684168,33.6
1994,Tara.Hills,26.00151172,54
1995,Tara.Hills,28.35667919,59.8
1996,Tara.Hills,28.50979687,38
1997,Tara.Hills,22.80952381,39.2
1998,Tara.Hills,10.90909091,28.6
1999,Tara.Hills,38.43175218,39.8
2000,Tara.Hills,34.46050232,53.4
2001,Tara.Hills,7.704918033,28.2
2002,Tara.Hills,6.154669521,23
2003,Tara.Hills,8.113258916,29.8
2004,Tara.Hills,20.88618593,53.2
2005,Tara.Hills,6.818181818,24
2006,Tara.Hills,17.40518962,57
2007,Tara.Hills,7.871198569,26.4
2008,Tara.Hills,30.65335753,35.6
2009,Tara.Hills,32.61821366,70
2010,Tara.Hills,16.54957065,84.8
2011,Tara.Hills,28.27206535,43.2
2012,Tara.Hills,11.69379144,30.4
2013,Tara.Hills,28.81446039,65.4
2014,Tara.Hills,11.03421761,29.2
2015,Tara.Hills,6.69365722,24.8
2016,Tara.Hills,21.49675449,36.8
1960,Taumarunui,21.32150241,61.6
1961,Taumarunui,28.28511677,77.2
1962,Taumarunui,21.41990291,41
1963,Taumarunui,22.44377675,62.6
1964,Taumarunui,19.24359658,49.9
1965,Taumarunui,16.86523909,60.1
1966,Taumarunui,24.37286626,39.7
1967,Taumarunui,19.85204526,70.1
1968,Taumarunui,20.78554595,54.5
1969,Taumarunui,21.0990099,60.9
1970,Taumarunui,15.20255679,41.9
1971,Taumarunui,26.82318415,60.1
1972,Taumarunui,11.67082294,40.6
1973,Taumarunui,23.64276287,49.2
1974,Taumarunui,34.30873954,70
1975,Taumarunui,16.78672779,47.4
1976,Taumarunui,22.46532671,48.6
1977,Taumarunui,16.79124605,58.2
1978,Taumarunui,22.45176556,49.4
1979,Taumarunui,28.25686722,51
1980,Taumarunui,22.30735552,43
1981,Taumarunui,11.04831648,45.4
1982,Taumarunui,5.96208724,30.5
1983,Taumarunui,14.02565554,47.5
1984,Taumarunui,15.96181224,36.6
1985,Taumarunui,19.53333948,33.3
1986,Taumarunui,24.7926123,51.3
1987,Taumarunui,17.71165979,39.5
1988,Taumarunui,20.78476552,75
1989,Taumarunui,18.67813715,69.4
1990,Taumarunui,22.75603468,63.7
1991,Taumarunui,16.28550075,69.3
1992,Taumarunui,18.19260293,50.1
1993,Taumarunui,14.91841492,59.1
1994,Taumarunui,27.23630586,67.4
1995,Taumarunui,24.26513643,67.1
1996,Taumarunui,31.62087751,44.2
1997,Taumarunui,24.54889534,93.2
1998,Taumarunui,32.40317072,79.6
1999,Taumarunui,29.52358416,67.5
2000,Taumarunui,37.1,64.8
2001,Taumarunui,28.81958152,60.7
2002,Taumarunui,14.39878013,51.2
2003,Taumarunui,29.64215907,84.9
2004,Taumarunui,22.13805224,75.7
2005,Taumarunui,11.20112716,40.7
2006,Taumarunui,15.38461538,39.5
2007,Taumarunui,20.02089136,39.4
2008,Taumarunui,26.78367905,65.9
2009,Taumarunui,23.95522989,50.6
2010,Taumarunui,22.65010352,53.2
2011,Taumarunui,29.60877074,80.9
2012,Taumarunui,18.77652934,62.4
2013,Taumarunui,14.8487626,56.2
2014,Taumarunui,20.82640287,68.6
2015,Taumarunui,22.34799483,63.4
2016,Taumarunui,22.73706897,34.8
1960,Taupo,0,0
1961,Taupo,0,0
1962,Taupo,0,0
1963,Taupo,0,0
1964,Taupo,0,0
1965,Taupo,0,0
1966,Taupo,0,0
1967,Taupo,0,0
1968,Taupo,0,0
1969,Taupo,0,0
1970,Taupo,0,0
1971,Taupo,0,0
1972,Taupo,0,0
1973,Taupo,0,0
1974,Taupo,0,0
1975,Taupo,0,0
1976,Taupo,0,0
1977,Taupo,17.45998092,42.4
1978,Taupo,31.39534884,36.5
1979,Taupo,35.08927135,58.7
1980,Taupo,19.97223324,61.6
1981,Taupo,24.47435646,43.1
1982,Taupo,16.24908425,53.2
1983,Taupo,15.3887114,41.3
1984,Taupo,14.45245451,63.6
1985,Taupo,38.72498453,63.4
1986,Taupo,34.43197034,59.5
1987,Taupo,15.26219373,76.1
1988,Taupo,27.50596659,91.6
1989,Taupo,15.93582888,55.3
1990,Taupo,17.45383868,45
1991,Taupo,25.05637233,50.8
1992,Taupo,22.91366165,68.6
1993,Taupo,21.02215509,59
1994,Taupo,20.56669237,51
1995,Taupo,35.34508076,89
1996,Taupo,31.15611814,56.8
1997,Taupo,21.19615032,36.4
1998,Taupo,33.0142606,57.2
1999,Taupo,19.65105601,54.4
2000,Taupo,18.71345029,38.6
2001,Taupo,15.90434177,37.4
2002,Taupo,28.37969741,61.4
2003,Taupo,7.675341861,39.2
2004,Taupo,19.56703521,43.6
2005,Taupo,27.94149279,37
2006,Taupo,26.49500254,74.4
2007,Taupo,18.32829809,47.4
2008,Taupo,22.39653215,100.6
2009,Taupo,14.53065969,35
2010,Taupo,10.90084986,35.4
2011,Taupo,47.21762173,113.6
2012,Taupo,17.61060985,38.8
2013,Taupo,0,23
2014,Taupo,4.565437944,27
2015,Taupo,18.80204136,41
2016,Taupo,9.512485137,38
1960,Tauranga,34.69495322,114.5
1961,Tauranga,45.87971762,105.6
1962,Tauranga,41.88096276,162.5
1963,Tauranga,49.35377875,85.2
1964,Tauranga,12.87528383,74.7
1965,Tauranga,45.63670122,108.1
1966,Tauranga,27.29218448,153.7
1967,Tauranga,36.04787933,112.4
1968,Tauranga,31.88911569,71.4
1969,Tauranga,40.34601495,73.4
1970,Tauranga,39.04331987,96.9
1971,Tauranga,32.20483642,94.1
1972,Tauranga,32.62184276,90.9
1973,Tauranga,15.6628941,96.9
1974,Tauranga,45.83388793,123.8
1975,Tauranga,27.31028152,68.6
1976,Tauranga,25.45220616,66.4
1977,Tauranga,28.092827,89.5
1978,Tauranga,31.59612073,132.8
1979,Tauranga,38.22834419,178.1
1980,Tauranga,14.07954643,116.9
1981,Tauranga,23.23373359,88.1
1982,Tauranga,13.62071013,39.1
1983,Tauranga,38.41492283,75.6
1984,Tauranga,12.62831687,93.9
1985,Tauranga,25.44332474,78.3
1986,Tauranga,30.39097138,64.2
1987,Tauranga,35.02951172,90.3
1988,Tauranga,22.21858906,79.8
1989,Tauranga,17.95900503,70
1990,Tauranga,25.32886468,61.8
1991,Tauranga,21.23122566,70.8
1992,Tauranga,19.93948081,98.6
1993,Tauranga,12.46840775,51
1994,Tauranga,23.89760837,74.2
1995,Tauranga,38.91730074,120
1996,Tauranga,35.71328769,126.2
1997,Tauranga,25.79116922,73.6
1998,Tauranga,39.41488507,87.8
1999,Tauranga,20.47753946,53.6
2000,Tauranga,34.24138235,173.8
2001,Tauranga,33.54964309,108.8
2002,Tauranga,13.5788895,60.6
2003,Tauranga,19.59207124,54
2004,Tauranga,38.3854093,129.8
2005,Tauranga,43.22541966,240.6
2006,Tauranga,27.42106788,72.2
2007,Tauranga,23.8049124,83
2008,Tauranga,24.69013386,91
2009,Tauranga,24.47320392,78.4
2010,Tauranga,26.04373757,120
2011,Tauranga,48.16005716,174.4
2012,Tauranga,34.6878432,97.8
2013,Tauranga,36.16980035,112.6
2014,Tauranga,36.40125956,87.6
2015,Tauranga,16.65459812,49.2
2016,Tauranga,21.99768244,71.4
1960,Timaru,0,17.9
1961,Timaru,26.85015291,47.3
1962,Timaru,0,22.2
1963,Timaru,28.44827586,44.9
1964,Timaru,14.92079714,34
1965,Timaru,19.16733709,38.1
1966,Timaru,31.3345521,54.8
1967,Timaru,23.63323289,50
1968,Timaru,33.52834657,63.5
1969,Timaru,7.87327478,25.1
1970,Timaru,12.91686238,32.1
1971,Timaru,11.84273999,25.9
1972,Timaru,27.84834864,39.4
1973,Timaru,29.63125549,56.3
1974,Timaru,33.2492236,49.8
1975,Timaru,24.88224785,41.6
1976,Timaru,15.46648551,34.8
1977,Timaru,18.91757696,26.5
1978,Timaru,26.26836706,44.9
1979,Timaru,29.35478291,55.5
1980,Timaru,42.54022809,75.1
1981,Timaru,15.18936342,26.7
1982,Timaru,0,22.1
1983,Timaru,30.49482163,35.6
1984,Timaru,0,17.6
1985,Timaru,8.675078864,33
1986,Timaru,49.97156829,108.5
1987,Timaru,24.79737886,46
1988,Timaru,19.76182813,36
1989,Timaru,10.7965767,26.3
1990,Timaru,25.69974555,32.4
1991,Timaru,45.40274141,90
1992,Timaru,10.99754702,30
1993,Timaru,19.87504881,51
1994,Timaru,32.22543353,64.4
1995,Timaru,21.57367668,45
1996,Timaru,19.40104167,36.4
1997,Timaru,12.59879126,27.8
1998,Timaru,16.51606426,37.6
1999,Timaru,18.27045358,35
2000,Timaru,32.26241901,111.8
2001,Timaru,8.075511274,30.8
2002,Timaru,16.93418941,30
2003,Timaru,21.77455862,35.4
2004,Timaru,32.30820106,59.2
2005,Timaru,39.03288201,49.6
2006,Timaru,20.94686649,37.6
2007,Timaru,11.83188671,26.6
2008,Timaru,30.84789092,45
2009,Timaru,32.96167247,56.4
2010,Timaru,40.42056075,61.4
2011,Timaru,41.64744646,49.2
2012,Timaru,40.69529652,38.4
2013,Timaru,14.96078056,49.4
2014,Timaru,19.26091825,38.6
2015,Timaru,25.05543237,40.4
2016,Timaru,29.03106509,54.4
1960,Waiouru,11.9376783,49.6
1961,Waiouru,28.18606425,62.7
1962,Waiouru,16.66180616,57.9
1963,Waiouru,24.62036623,61.5
1964,Waiouru,14.35661765,40.6
1965,Waiouru,20.32925285,74.9
1966,Waiouru,16.51204198,35.8
1967,Waiouru,28.79278219,88.9
1968,Waiouru,19.5140218,76.5
1969,Waiouru,11.44249049,26.9
1970,Waiouru,18.12052255,46
1971,Waiouru,31.09992938,64.5
1972,Waiouru,20.07330138,48.5
1973,Waiouru,14.14469994,40.9
1974,Waiouru,31.50660637,47.8
1975,Waiouru,8.856811904,46.1
1976,Waiouru,20.59594547,58.2
1977,Waiouru,16.55152834,40
1978,Waiouru,13.89813156,33.8
1979,Waiouru,13.81193913,42.8
1980,Waiouru,21.05500858,61.4
1981,Waiouru,16.49158593,34.7
1982,Waiouru,6.263022429,27.2
1983,Waiouru,21.48411464,37.9
1984,Waiouru,9.230588787,31.6
1985,Waiouru,33.06819387,48.1
1986,Waiouru,17.48425272,39.7
1987,Waiouru,27.33474693,47.9
1988,Waiouru,21.62895081,41.3
1989,Waiouru,20.35181019,53.9
1990,Waiouru,10.13142916,45.3
1991,Waiouru,20.96514291,52.7
1992,Waiouru,27.39480752,44.5
1993,Waiouru,17.74568596,32.2
1994,Waiouru,13.54403708,31.8
1995,Waiouru,20.79894644,46.8
1996,Waiouru,11.47858353,36.5
1997,Waiouru,23.05673991,35.2
1998,Waiouru,21.04023973,43.8
1999,Waiouru,31.61064272,68.2
2000,Waiouru,21.97836488,53.3
2001,Waiouru,26.54867257,53.5
2002,Waiouru,17.92153589,46.4
2003,Waiouru,17.74034915,36.7
2004,Waiouru,33.84235347,131.5
2005,Waiouru,6.204556471,26.9
2006,Waiouru,23.12794694,69.2
2007,Waiouru,26.55225607,54
2008,Waiouru,30.17279186,42
2009,Waiouru,33.10804379,40.7
2010,Waiouru,19.12022918,36.9
2011,Waiouru,27.30633237,120.5
2012,Waiouru,27.31765171,48
2013,Waiouru,29.05664285,50.5
2014,Waiouru,9.355421047,31.7
2015,Waiouru,26.23664424,60.5
2016,Waiouru,13.67474803,29
1960,Wellington,12.1037464,68.2
1961,Wellington,13.24399261,52.5
1962,Wellington,31.15920368,105.7
1963,Wellington,22.72144949,119.7
1964,Wellington,25.88302472,53.9
1965,Wellington,22.63390286,65.5
1966,Wellington,33.88767901,91.7
1967,Wellington,25.94148652,77
1968,Wellington,28.64641657,78.2
1969,Wellington,16.67178699,48.3
1970,Wellington,20.53502989,52
1971,Wellington,28.62242918,100.4
1972,Wellington,22.01046338,47.2
1973,Wellington,17.50114837,57.4
1974,Wellington,32.69820046,93.8
1975,Wellington,28.21654721,70.4
1976,Wellington,35.39509894,119.7
1977,Wellington,35.75985604,54.8
1978,Wellington,20.10662056,66.8
1979,Wellington,30.58660027,64.3
1980,Wellington,28.51341552,64.6
1981,Wellington,20.66656404,111.9
1982,Wellington,30.22504688,64.1
1983,Wellington,32.19419185,74.4
1984,Wellington,19.58556757,49.7
1985,Wellington,15.80957978,48.9
1986,Wellington,29.8547814,58.3
1987,Wellington,20.10045662,50.7
1988,Wellington,17.94665325,58.4
1989,Wellington,12.24797122,60.1
1990,Wellington,24.07475266,63.9
1991,Wellington,31.11059837,61.4
1992,Wellington,22.22222222,55.1
1993,Wellington,23.65662951,72.9
1994,Wellington,13.72141372,108
1995,Wellington,27.03761755,55.6
1996,Wellington,15.67322239,62.8
1997,Wellington,33.32231678,83.2
1998,Wellington,29.58762165,96.1
1999,Wellington,21.39105642,60.2
2000,Wellington,16.16783755,50.5
2001,Wellington,15.2171925,70.2
